Date,Region,VenueName,ShowTime,MaxSeats,SeatsAvailable,BookedTickets,Occupancy,BookedGross,TotalGross
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,10:00 PM,469,235,234,49.89%,56500.00,105650.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,08:01 AM,552,0,552,100.00%,118810.00,118810.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,11:15 AM,552,0,552,100.00%,118810.00,118810.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,02:30 PM,552,18,534,96.74%,116110.00,118810.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,06:15 PM,552,23,529,95.83%,115360.00,118810.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,09:30 PM,552,36,516,93.48%,113410.00,118810.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,08:00 AM,189,0,189,100.00%,42850.00,42850.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,08:15 AM,189,4,185,97.88%,42150.00,42750.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,11:15 AM,189,52,137,72.49%,32150.00,42850.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,02:30 PM,189,93,96,50.79%,23200.00,42850.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,06:15 PM,189,83,106,56.08%,23800.00,42850.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,09:30 PM,189,63,126,66.67%,29800.00,42850.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,08:01 AM,400,0,400,100.00%,89100.00,89100.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,08:20 AM,276,4,272,98.55%,61300.00,62000.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,11:30 AM,400,153,247,61.75%,53850.00,89100.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,02:45 PM,400,182,218,54.50%,46900.00,89100.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,06:30 PM,400,156,244,61.00%,53100.00,89100.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,10:00 PM,400,119,281,70.25%,61750.00,89100.00
